lookback_size,misses_threshold,alpha,window,limit,bps,totalb,time
15,7,0.1,15,1,1.50946,3.42168e+07,16.6904
15,7,0.2,15,1,1.49849,3.39682e+07,17.1604
15,7,0.3,15,1,1.493,3.38436e+07,16.5929
15,7,0.4,15,1,1.4896,3.37666e+07,16.7004
15,7,0.5,15,1,1.48729,3.37142e+07,16.349
15,7,0.6,15,1,1.48562,3.36765e+07,16.2875
15,7,0.7,15,1,1.48438,3.36482e+07,16.3463
15,7,0.8,15,1,1.48342,3.36265e+07,16.3519
15,7,0.9,15,1,1.48267,3.36096e+07,16.4171
15,7,1,15,1,1.48208,3.35962e+07,16.5058
